timestamp,mote_id,has_fault_type,temperature,light
'2004-02-29T00:00:00',6,0,19.50,114.0800
'2004-02-29T00:00:30',6,0,19.4984,114.08
'2004-02-29T00:01:00',6,0,19.4984,114.08
'2004-02-29T00:01:30',6,0,19.49,114.0800
'2004-02-29T00:02:00',6,0,19.49,114.0800
'2004-02-29T00:02:30',6,0,19.48,114.0800
'2004-02-29T00:03:00',6,0,19.48,114.0800
'2004-02-29T00:03:30',6,0,19.47,114.0800
'2004-02-29T00:04:00',6,0,19.47,114.0800
'2004-02-29T00:04:30',6,0,19.46,114.0800
'2004-02-29T00:05:00',6,0,19.4592,114.08
'2004-02-29T00:05:30',6,0,19.46,114.0800
'2004-02-29T00:06:00',6,0,19.45,114.0800
'2004-02-29T00:06:30',6,0,19.4494,114.08
'2004-02-29T00:07:00',6,0,19.45,114.0800
'2004-02-29T00:07:30',6,0,19.45,114.0800
'2004-02-29T00:08:00',6,0,19.4494,114.08
'2004-02-29T00:08:30',6,0,19.45,114.0800
'2004-02-29T00:09:00',6,0,19.45,114.0800
'2004-02-29T00:09:30',6,0,19.45,114.0800
'2004-02-29T00:10:00',6,0,19.44,114.0800
'2004-02-29T00:10:30',6,0,19.44,114.0800
'2004-02-29T00:11:00',6,0,19.44,114.0800
'2004-02-29T00:11:30',6,0,19.4396,114.08
'2004-02-29T00:12:00',6,0,19.44,114.0800
'2004-02-29T00:12:30',6,0,19.43,114.0800
'2004-02-29T00:13:00',6,0,19.43,114.0800
'2004-02-29T00:13:30',6,0,19.4298,114.08
'2004-02-29T00:14:00',6,0,19.43,114.0800
'2004-02-29T00:14:30',6,0,19.43,114.0800
'2004-02-29T00:15:00',6,0,19.43,114.0800
'2004-02-29T00:15:30',6,0,19.4298,114.08
'2004-02-29T00:16:00',6,0,19.43,114.0800
'2004-02-29T00:16:30',6,0,19.4396,114.08
'2004-02-29T00:17:00',6,0,19.44,114.0800
'2004-02-29T00:17:30',6,0,19.44,114.0800
'2004-02-29T00:18:00',6,0,19.43,114.0800
'2004-02-29T00:18:30',6,0,19.43,114.0800
'2004-02-29T00:19:00',6,0,19.43,114.0800
'2004-02-29T00:19:30',6,0,19.4298,114.08
'2004-02-29T00:20:00',6,0,19.42,114.0800
'2004-02-29T00:20:30',6,0,19.4102,114.08
'2004-02-29T00:21:00',6,0,19.41,114.0800
'2004-02-29T00:21:30',6,0,19.4102,114.08
'2004-02-29T00:22:00',6,0,19.40,114.0800
'2004-02-29T00:22:30',6,0,19.3906,114.08
'2004-02-29T00:23:00',6,0,19.3808,114.08
'2004-02-29T00:23:30',6,0,19.3808,114.08
'2004-02-29T00:24:00',6,0,19.371,114.08
'2004-02-29T00:24:30',6,0,19.371,114.08
'2004-02-29T00:25:00',6,0,19.3612,114.08
'2004-02-29T00:25:30',6,0,19.3612,114.08
'2004-02-29T00:26:00',6,0,19.36,114.0800
'2004-02-29T00:26:30',6,0,19.35,114.0800
'2004-02-29T00:27:00',6,0,19.35,114.0800
'2004-02-29T00:27:30',6,0,19.3416,114.08
'2004-02-29T00:28:00',6,0,19.34,114.0800
'2004-02-29T00:28:30',6,0,19.35,114.0800
'2004-02-29T00:29:00',6,0,19.35,114.0800
'2004-02-29T00:29:30',6,0,19.3514,114.08
'2004-02-29T00:30:00',6,0,19.35,114.0800
'2004-02-29T00:30:30',6,0,19.3416,114.08
'2004-02-29T00:31:00',6,0,19.34,114.0800
'2004-02-29T00:31:30',6,0,19.3416,114.08
'2004-02-29T00:32:00',6,0,19.34,114.0800
'2004-02-29T00:32:30',6,0,19.3318,114.08
'2004-02-29T00:33:00',6,0,19.3416,114.08
'2004-02-29T00:33:30',6,0,19.322,114.08
'2004-02-29T00:34:00',6,0,19.3318,114.08
'2004-02-29T00:34:30',6,0,19.33,114.0800
'2004-02-29T00:35:00',6,0,19.322,114.08
'2004-02-29T00:35:30',6,0,19.32,114.0800
'2004-02-29T00:36:00',6,0,19.32,114.0800
'2004-02-29T00:36:30',6,0,19.31,114.0800
'2004-02-29T00:37:00',6,0,19.31,114.0800
'2004-02-29T00:37:30',6,0,19.31,114.0800
'2004-02-29T00:38:00',6,0,19.30,114.0800
'2004-02-29T00:38:30',6,0,19.30,114.0800
'2004-02-29T00:39:00',6,0,19.30,114.0800
'2004-02-29T00:39:30',6,0,19.2926,114.08
'2004-02-29T00:40:00',6,0,19.29,114.0800
'2004-02-29T00:40:30',6,0,19.2926,114.08
'2004-02-29T00:41:00',6,0,19.2828,114.08
'2004-02-29T00:41:30',6,0,19.28,114.0800
'2004-02-29T00:42:00',6,0,19.28,114.0800
'2004-02-29T00:42:30',6,0,19.2828,114.08
'2004-02-29T00:43:00',6,0,19.273,114.08
'2004-02-29T00:43:30',6,0,19.27,114.0800
